,DMI,AO,AMON,NAO,NINO,PDO
1968-01-01,0.213,-0.409,-0.259,1.65,-0.6,-0.65
1968-02-01,0.334,-2.154,-0.21,-1.53,-0.7,-0.19
1968-03-01,0.154,1.741,-0.221,0.34,-0.6,0.08
1968-04-01,0.073,0.328,-0.168,-0.71,-0.4,-0.69
1968-05-01,-0.123,-0.241,-0.136,-1.5,0.0,-0.79
1968-06-01,0.091,0.42,-0.275,0.95,0.3,0.14
1968-07-01,-0.521,-0.836,-0.242,-1.96,0.6,0.44
1968-08-01,-0.455,-0.671,-0.226,-1.45,0.5,-0.01
1968-09-01,-0.734,-1.009,-0.162,0.5,0.4,0.26
1968-10-01,-0.531,-1.013,-0.126,0.03,0.5,-0.18
1968-11-01,-0.454,-2.183,-0.12,-2.0,0.7,0.03
1968-12-01,-0.213,-0.783,-0.139,-1.73,1.0,-0.29
1969-01-01,-0.162,-2.967,-0.075,-1.64,1.1,-0.71
1969-02-01,-0.164,-3.114,0.092,-3.16,1.1,-1.22
1969-03-01,0.06,-1.582,0.194,-1.81,0.9,-1.21
1969-04-01,-0.051,0.438,0.136,1.11,0.8,-1.07
1969-05-01,-0.166,-0.72,-0.002,-0.23,0.6,-1.06
1969-06-01,-0.626,-0.348,0.016,-1.17,0.4,0.84
1969-07-01,-0.407,0.41,0.081,3.7,0.4,-0.37
1969-08-01,-0.35,-0.782,-0.114,-1.62,0.5,-0.92
1969-09-01,-0.248,-0.083,-0.12,0.38,0.8,-1.07
1969-10-01,-0.2,0.098,-0.198,0.7,0.9,0.95
1969-11-01,-0.004,0.326,-0.137,-1.28,0.8,0.58
1969-12-01,-0.085,-1.856,-0.044,-0.26,0.6,1.13
1970-01-01,0.297,-2.412,-0.023,-1.16,0.5,1.06
1970-02-01,0.326,-1.325,-0.061,1.1,0.3,1.01
1970-03-01,0.068,-2.084,0.006,-1.78,0.3,1.2
1970-04-01,0.219,0.302,0.007,2.52,0.2,0.31
1970-05-01,0.182,0.531,-0.059,1.87,0.0,-0.89
1970-06-01,-0.385,0.875,-0.195,-0.11,-0.3,-0.12
1970-07-01,-0.57,0.139,-0.213,0.27,-0.6,-0.92
1970-08-01,-0.351,-0.263,-0.153,-0.2,-0.8,-1.79
1970-09-01,-0.6,0.03,-0.151,0.47,-0.8,-1.68
1970-10-01,-0.638,0.098,-0.209,-0.0,-0.7,-1.2
1970-11-01,-0.307,0.378,-0.253,0.76,-0.9,-0.92
1970-12-01,-0.235,-0.399,-0.222,-1.58,-1.1,-0.91
1971-01-01,0.198,-0.163,-0.259,-0.43,-1.4,-1.34
1971-02-01,0.013,-0.922,-0.305,1.21,-1.4,-1.45
1971-03-01,0.208,-1.091,-0.323,-1.76,-1.1,-1.55
1971-04-01,0.24,-0.583,-0.426,-3.15,-0.8,-1.7
1971-05-01,-0.074,0.679,-0.339,-0.62,-0.7,-1.75
1971-06-01,-0.236,-0.668,-0.376,-1.32,-0.7,-1.86
1971-07-01,-0.354,-0.578,-0.362,-1.04,-0.8,-2.25
1971-08-01,-0.547,0.818,-0.448,0.07,-0.8,-0.32
1971-09-01,-0.746,0.153,-0.379,-0.54,-0.8,-0.17
1971-10-01,-0.629,1.185,-0.248,1.63,-0.9,-0.35
1971-11-01,0.017,0.419,-0.256,-1.46,-1.0,-1.28
